income_ID;country_ID;year_ID;age_ID;gender_ID;median_income_MEUR
HR20_A65_F;HR;20;A65;F;5864.0
HR21_A65_F;HR;21;A65;F;5981.0
HR22_A65_F;HR;22;A65;F;6441.0
HR23_A65_F;HR;23;A65;F;6942.0
HR24_A65_F;HR;24;A65;F;8545.0
IT15_A65_F;IT;15;A65;F;15159.0
IT16_A65_F;IT;16;A65;F;15850.0
IT17_A65_F;IT;17;A65;F;16233.0
IT18_A65_F;IT;18;A65;F;16503.0
IT19_A65_F;IT;19;A65;F;16634.0
IT20_A65_F;IT;20;A65;F;17276.0
IT21_A65_F;IT;21;A65;F;17769.0
IT22_A65_F;IT;22;A65;F;17559.0
IT23_A65_F;IT;23;A65;F;19027.0
IT24_A65_F;IT;24;A65;F;19883.0
CY15_A65_F;CY;15;A65;F;10766.0
CY16_A65_F;CY;16;A65;F;11097.0
CY17_A65_F;CY;17;A65;F;11423.0
CY18_A65_F;CY;18;A65;F;11997.0
CY19_A65_F;CY;19;A65;F;12404.0
CY20_A65_F;CY;20;A65;F;12918.0
CY21_A65_F;CY;21;A65;F;13026.0
CY22_A65_F;CY;22;A65;F;13749.0
CY23_A65_F;CY;23;A65;F;14683.0
CY24_A65_F;CY;24;A65;F;14973.0
LV15_A65_F;LV;15;A65;F;3870.0
LV16_A65_F;LV;16;A65;F;4202.0
LV17_A65_F;LV;17;A65;F;4218.0
LV18_A65_F;LV;18;A65;F;4414.0
LV19_A65_F;LV;19;A65;F;4812.0
LV20_A65_F;LV;20;A65;F;5733.0
LV21_A65_F;LV;21;A65;F;5670.0
LV22_A65_F;LV;22;A65;F;6578.0
LV23_A65_F;LV;23;A65;F;7246.0
LV24_A65_F;LV;24;A65;F;8275.0
LT15_A65_F;LT;15;A65;F;3764.0
LT16_A65_F;LT;16;A65;F;4057.0
LT17_A65_F;LT;17;A65;F;4224.0
LT18_A65_F;LT;18;A65;F;4489.0
LT19_A65_F;LT;19;A65;F;5157.0
LT20_A65_F;LT;20;A65;F;5685.0
LT21_A65_F;LT;21;A65;F;6350.0
LT22_A65_F;LT;22;A65;F;6377.0
LT23_A65_F;LT;23;A65;F;7234.0
LT24_A65_F;LT;24;A65;F;8052.0
LU15_A65_F;LU;15;A65;F;36216.0
LU16_A65_F;LU;16;A65;F;37013.0
LU17_A65_F;LU;17;A65;F;38535.0
LU18_A65_F;LU;18;A65;F;40405.0
LU19_A65_F;LU;19;A65;F;42326.0
LU20_A65_F;LU;20;A65;F;45663.0
LU21_A65_F;LU;21;A65;F;50517.0
LU22_A65_F;LU;22;A65;F;47925.0
LU23_A65_F;LU;23;A65;F;50388.0
LU24_A65_F;LU;24;A65;F;55116.0
HU15_A65_F;HU;15;A65;F;4431.0
HU16_A65_F;HU;16;A65;F;4649.0
HU17_A65_F;HU;17;A65;F;4729.0
HU18_A65_F;HU;18;A65;F;5000.0
HU19_A65_F;HU;19;A65;F;5144.0
HU20_A65_F;HU;20;A65;F;5626.0
HU21_A65_F;HU;21;A65;F;5757.0
HU22_A65_F;HU;22;A65;F;6471.0
HU23_A65_F;HU;23;A65;F;5936.0
HU24_A65_F;HU;24;A65;F;7941.0
MT15_A65_F;MT;15;A65;F;10429.0
MT16_A65_F;MT;16;A65;F;10270.0
