consumption_ID;country_ID;year_ID;category_ID;KPI_name;value
CY22_C02;CY;22;C02;consumption_MEUR;815.6
CY23_C02;CY;23;C02;consumption_MEUR;850.2
LV10_C02;LV;10;C02;consumption_MEUR;992.9
LV11_C02;LV;11;C02;consumption_MEUR;949.5
LV12_C02;LV;12;C02;consumption_MEUR;883.5
LV13_C02;LV;13;C02;consumption_MEUR;996.5
LV14_C02;LV;14;C02;consumption_MEUR;992.9
LV15_C02;LV;15;C02;consumption_MEUR;1060.5
LV16_C02;LV;16;C02;consumption_MEUR;1149.1
LV17_C02;LV;17;C02;consumption_MEUR;1186.7
LV18_C02;LV;18;C02;consumption_MEUR;1343.4
LV19_C02;LV;19;C02;consumption_MEUR;1368.4
LV20_C02;LV;20;C02;consumption_MEUR;1437.1
LV21_C02;LV;21;C02;consumption_MEUR;1423.7
LV22_C02;LV;22;C02;consumption_MEUR;1496.4
LV23_C02;LV;23;C02;consumption_MEUR;1610.9
HU10_C02;HU;10;C02;consumption_MEUR;3844.4
HU11_C02;HU;11;C02;consumption_MEUR;3960.7
HU12_C02;HU;12;C02;consumption_MEUR;4179.3
HU13_C02;HU;13;C02;consumption_MEUR;4240.9
HU14_C02;HU;14;C02;consumption_MEUR;4124.6
HU15_C02;HU;15;C02;consumption_MEUR;4170.3
HU16_C02;HU;16;C02;consumption_MEUR;4255.6
HU17_C02;HU;17;C02;consumption_MEUR;4708.1
HU18_C02;HU;18;C02;consumption_MEUR;4960.6
HU19_C02;HU;19;C02;consumption_MEUR;5412.4
HU20_C02;HU;20;C02;consumption_MEUR;5095.8
HU21_C02;HU;21;C02;consumption_MEUR;5560.9
HU22_C02;HU;22;C02;consumption_MEUR;5768.2
HU23_C02;HU;23;C02;consumption_MEUR;6378.7
