indicator_ID;country_ID;year_ID;KPI_ID;value
DE14_INC;DE;14;INC;1680859.0
DE14_HVPI;DE;14;HVPI;99.0
DE14_INF;DE;14;INF;0.8
DE14_SAVN;DE;14;SAVN;174241.0
DE14_SAVR;DE;14;SAVR;17.0
DE15_CON;DE;15;CON;1604872.0
DE15_INC;DE;15;INC;1732228.0
DE15_HVPI;DE;15;HVPI;100.0
DE15_INF;DE;15;INF;0.7
DE15_SAVN;DE;15;SAVN;182188.0
DE15_SAVR;DE;15;SAVR;17.16
DE16_CON;DE;16;CON;1651744.0
DE16_INC;DE;16;INC;1786047.0
DE16_HVPI;DE;16;HVPI;100.0
DE16_INF;DE;16;INF;0.4
DE16_SAVN;DE;16;SAVN;187234.0
DE16_SAVR;DE;16;SAVR;17.2
DE17_CON;DE;17;CON;1703981.0
DE17_INC;DE;17;INC;1845358.0
DE17_HVPI;DE;17;HVPI;102.0
DE17_INF;DE;17;INF;1.7
DE17_SAVN;DE;17;SAVN;199218.0
DE17_SAVR;DE;17;SAVR;17.53
DE18_CON;DE;18;CON;1757543.0
DE18_INC;DE;18;INC;1920328.0
DE18_HVPI;DE;18;HVPI;104.0
DE18_INF;DE;18;INF;1.9
DE18_SAVN;DE;18;SAVN;217814.0
DE18_SAVR;DE;18;SAVR;18.17
DE19_CON;DE;19;CON;1813709.0
DE19_INC;DE;19;INC;1966165.0
DE19_HVPI;DE;19;HVPI;105.0
DE19_INF;DE;19;INF;1.4
DE19_SAVN;DE;19;SAVN;211023.0
DE19_SAVR;DE;19;SAVR;17.8
DE20_CON;DE;20;CON;1695608.0
DE20_INC;DE;20;INC;1967301.0
DE20_HVPI;DE;20;HVPI;105.0
DE20_INF;DE;20;INF;0.4
DE20_SAVN;DE;20;SAVN;327031.0
DE20_SAVR;DE;20;SAVR;23.29
DE21_CON;DE;21;CON;1786727.0
DE21_INC;DE;21;INC;2024038.0
DE21_HVPI;DE;21;HVPI;109.0
DE21_INF;DE;21;INF;3.2
DE21_SAVN;DE;21;SAVN;296515.0
DE21_SAVR;DE;21;SAVR;21.94
DE22_CON;DE;22;CON;2017981.0
DE22_INC;DE;22;INC;2186293.0
DE22_HVPI;DE;22;HVPI;118.0
DE22_INF;DE;22;INF;8.7
DE22_SAVN;DE;22;SAVN;231115.0
DE22_SAVR;DE;22;SAVR;18.87
DE23_CON;DE;23;CON;2145449.0
DE23_INC;DE;23;INC;2337694.0
DE23_HVPI;DE;23;HVPI;125.0
DE23_INF;DE;23;INF;6.0
DE23_SAVN;DE;23;SAVN;249974.0
DE23_SAVR;DE;23;SAVR;19.21
EE12_CON;EE;12;CON;9015.0
EE12_INC;EE;12;INC;8798.0
EE12_HVPI;EE;12;HVPI;96.0
EE12_INF;EE;12;INF;4.2
EE12_SAVN;EE;12;SAVN;4.0
EE12_SAVR;EE;12;SAVR;5.32
EE13_CON;EE;13;CON;9699.0
EE13_INC;EE;13;INC;9659.0
EE13_HVPI;EE;13;HVPI;99.0
EE13_INF;EE;13;INF;3.2
EE13_SAVN;EE;13;SAVN;213.0
EE13_SAVR;EE;13;SAVR;7.1
EE14_CON;EE;14;CON;10161.0
EE14_INC;EE;14;INC;10012.0
EE14_HVPI;EE;14;HVPI;99.0
EE14_INF;EE;14;INF;0.5
EE14_SAVN;EE;14;SAVN;165.0
EE14_SAVR;EE;14;SAVR;6.44
EE15_CON;EE;15;CON;10650.0
EE15_INC;EE;15;INC;10711.0
EE15_HVPI;EE;15;HVPI;100.0
EE15_INF;EE;15;INF;0.1
EE15_SAVN;EE;15;SAVN;424.0
EE15_SAVR;EE;15;SAVR;8.34
EE16_CON;EE;16;CON;11273.0
EE16_INC;EE;16;INC;11233.0
EE16_HVPI;EE;16;HVPI;100.0
EE16_INF;EE;16;INF;0.8
EE16_SAVN;EE;16;SAVN;348.0
EE16_SAVR;EE;16;SAVR;7.36
EE17_CON;EE;17;CON;12059.0
EE17_INC;EE;17;INC;12105.0
EE17_HVPI;EE;17;HVPI;104.0
EE17_INF;EE;17;INF;3.7
EE17_SAVN;EE;17;SAVN;483.0
EE17_SAVR;EE;17;SAVR;8.08
EE18_CON;EE;18;CON;13071.0
EE18_INC;EE;18;INC;13687.0
EE18_HVPI;EE;18;HVPI;108.0
EE18_INF;EE;18;INF;3.4
EE18_SAVN;EE;18;SAVN;1015.0
EE18_SAVR;EE;18;SAVR;11.12
EE19_CON;EE;19;CON;14000.0
EE19_INC;EE;19;INC;14549.0
EE19_HVPI;EE;19;HVPI;110.0
EE19_INF;EE;19;INF;2.3
EE19_SAVN;EE;19;SAVN;947.0
EE19_SAVR;EE;19;SAVR;10.32
EE20_CON;EE;20;CON;13669.0
EE20_INC;EE;20;INC;14767.0
EE20_HVPI;EE;20;HVPI;109.0
EE20_INF;EE;20;INF;-0.6
EE20_SAVN;EE;20;SAVN;1434.0
EE20_SAVR;EE;20;SAVR;13.22
EE21_CON;EE;21;CON;15258.0
EE21_INC;EE;21;INC;16012.0
EE21_HVPI;EE;21;HVPI;114.0
EE21_INF;EE;21;INF;4.5
EE21_SAVN;EE;21;SAVN;754.0
EE21_SAVR;EE;21;SAVR;8.74
EE22_CON;EE;22;CON;18475.0
EE22_INC;EE;22;INC;18209.0
EE22_HVPI;EE;22;HVPI;137.0
EE22_INF;EE;22;INF;19.4
EE22_SAVN;EE;22;SAVN;-266.0
EE22_SAVR;EE;22;SAVR;2.96
EE23_CON;EE;23;CON;19813.0
EE23_INC;EE;23;INC;19553.0
EE23_HVPI;EE;23;HVPI;149.0
EE23_INF;EE;23;INF;9.1
EE23_SAVN;EE;23;SAVN;-261.0
EE23_SAVR;EE;23;SAVR;3.25
IE12_CON;IE;12;CON;77437.0
IE12_INC;IE;12;INC;84056.0
IE12_HVPI;IE;12;HVPI;99.0
IE12_INF;IE;12;INF;1.9
IE12_SAVN;IE;12;SAVN;8852.0
IE12_SAVR;IE;12;SAVR;14.44
IE13_CON;IE;13;CON;78815.0
IE13_INC;IE;13;INC;83605.0
IE13_HVPI;IE;13;HVPI;99.0
IE13_INF;IE;13;INF;0.5
IE13_SAVN;IE;13;SAVN;6732.0
IE13_SAVR;IE;13;SAVR;12.28
IE14_CON;IE;14;CON;81661.0
IE14_INC;IE;14;INC;84899.0
IE14_HVPI;IE;14;HVPI;100.0
IE14_INF;IE;14;INF;0.3
IE14_SAVN;IE;14;SAVN;5443.0
